date,name,team,opposition,venue,bat_innings,innings_played,previous_average,previous_strike_rate,previous_economy,previous_wicket_hauls,wickets
,LN O'Connor,Adelaide Strikers,Melbourne Stars,Melbourne Cricket Ground,,1,0,0,9,0,0
,DR Briggs,Adelaide Strikers,Melbourne Stars,Melbourne Cricket Ground,,2,23.25,18,6.875,0,1
,GJ Maxwell,Melbourne Stars,Adelaide Strikers,Melbourne Cricket Ground,,1,20,6,20,0,2
,Zahir Khan,Melbourne Stars,Adelaide Strikers,Melbourne Cricket Ground,,0,0,0,0,0,2
,B Stanlake,Melbourne Stars,Adelaide Strikers,Melbourne Cricket Ground,,1,0,0,11.07692308,0,1
,A Zampa,Melbourne Stars,Adelaide Strikers,Melbourne Cricket Ground,,1,3.5,6,3.5,0,5
,Haris Rauf,Melbourne Stars,Adelaide Strikers,Melbourne Cricket Ground,,1,0,0,12.5,0,0
2021-01-18,RP Meredith,Hobart Hurricanes,Sydney Thunder,Manuka Oval,,2,60,27,11.70666667,0,0
,SM Boland,Hobart Hurricanes,Sydney Thunder,Manuka Oval,,2,11.5,12,8.875,0,4
,NT Ellis,Hobart Hurricanes,Sydney Thunder,Manuka Oval,,2,10.25,7,8.75,1,1
,S Lamichhane,Hobart Hurricanes,Sydney Thunder,Manuka Oval,,2,13,12,6.5,0,0
,DJM Short,Hobart Hurricanes,Sydney Thunder,Manuka Oval,,2,9,9,10,0,0
,AF Milne,Sydney Thunder,Hobart Hurricanes,Manuka Oval,,1,0,0,10.10526316,0,1
,DR Sams,Sydney Thunder,Hobart Hurricanes,Manuka Oval,,0,0,0,0,0,0
,N McAndrew,Sydney Thunder,Hobart Hurricanes,Manuka Oval,,1,9,12,4.5,0,1
,BCJ Cutting,Sydney Thunder,Hobart Hurricanes,Manuka Oval,,1,0,0,6.857142857,0,0
,T Sangha,Sydney Thunder,Hobart Hurricanes,Manuka Oval,,1,20,12,10,0,2
,CJ Green,Sydney Thunder,Hobart Hurricanes,Manuka Oval,,1,19,13,8.769230769,0,0
2021-01-03,BJ Dwarshuis,Sydney Sixers,Adelaide Strikers,Carrara Oval,,3,16.72222222,9.166666667,11.42028986,0,1
,BAD Manenti,Sydney Sixers,Adelaide Strikers,Carrara Oval,,2,0,0,9.5,0,1
,JT Ball,Sydney Sixers,Adelaide Strikers,Carrara Oval,,2,22,14,10.21428571,0,1
